iso_code,country_name,epi_score,epi_eco,epi_hlt,epi_bdh,epi_cch,epi_air,epi_h2o,epi_wmg,epi_agr,n_firms,br_env,co2_monitoring_pct,energy_mgmt_pct
MAR,Morocco,39.5,40.0,44.1,30.1,34.9,44.7,50.9,28.4,35.6,598.0,41.87397813133333,7.7834179357022,16.610169491525422
MDA,Moldova,46.1,49.1,41.8,53.3,45.4,34.5,66.6,16.2,49.9,152.0,,21.333333333333336,33.55263157894737
MDG,Madagascar,30.1,28.0,26.7,26.4,36.1,30.7,12.9,25.7,48.2,402.0,22.42851292353333,7.301587301587302,34.82428115015975
MDV,Maldives,38.1,39.3,48.0,12.0,27.9,47.5,51.5,13.4,55.8,,,,
MEX,Mexico,44.2,46.6,37.1,31.7,46.4,29.7,58.2,26.3,56.8,1322.0,48.56535881083333,12.651515151515152,58.96656534954408
MHL,Marshall Islands,42.5,34.3,55.6,12.6,41.0,63.2,36.6,36.4,77.8,,,,
MKD,North Macedonia,50.3,55.7,39.3,53.0,51.3,29.8,70.0,31.6,46.7,354.0,41.62243102051111,31.054131054131055,52.27272727272727
MLI,Mali,34.5,44.7,37.7,51.0,16.5,44.6,18.4,30.0,66.4,392.0,,3.826530612244898,10.741687979539643
MLT,Malta,66.9,65.6,73.0,67.1,63.6,69.8,95.3,27.1,43.5,241.0,,23.949579831932773,69.70954356846472
MMR,Myanmar,27.1,26.9,17.2,23.0,35.6,9.0,35.4,34.7,59.6,,,,
MNE,Montenegro,47.7,50.2,48.7,42.1,43.1,35.2,97.1,12.7,43.0,151.0,41.02965897177682,17.56756756756757,53.02013422818792
MNG,Mongolia,37.2,55.2,28.5,64.2,17.6,17.7,61.4,12.3,29.0,,,,
MOZ,Mozambique,39.0,48.8,25.2,57.1,35.7,26.8,20.5,31.5,40.1,,,,
MRT,Mauritania,34.6,34.5,46.5,36.2,24.8,53.5,26.9,30.1,42.1,,,,
MUS,Mauritius,47.3,33.5,70.4,13.4,45.8,75.7,63.3,34.8,68.6,353.0,24.13943326218888,16.524216524216524,35.61253561253561
MWI,Malawi,35.1,54.5,21.0,68.1,17.7,20.0,17.1,33.9,46.6,153.0,,45.751633986928105,53.94736842105263
MYS,Malaysia,41.0,38.9,45.8,28.0,39.9,43.2,53.5,35.4,63.6,979.0,,3.199174406604747,11.995863495346432
NAM,Namibia,44.0,62.7,26.8,69.5,30.3,27.3,19.8,30.5,25.5,307.0,,14.14141414141414,31.788079470198678
NER,Niger,40.0,59.0,30.6,69.9,19.4,36.4,12.3,31.9,55.9,,,,
NGA,Nigeria,37.9,44.2,20.3,47.1,43.9,17.9,14.3,29.7,47.9,1043.0,,31.064237775647175,46.06525911708253
NIC,Nicaragua,47.4,58.5,39.3,65.5,37.6,36.6,47.3,21.6,51.6,,,,
NLD,Netherlands,66.9,66.7,74.8,60.5,60.7,67.4,91.1,69.6,68.0,,,,
NOR,Norway,69.9,72.2,86.7,71.6,52.6,82.9,99.8,58.3,52.3,,,,
NPL,Nepal,33.1,47.9,14.7,54.2,25.8,6.1,34.3,42.7,65.6,582.0,23.716094575633324,7.3883161512027495,16.83848797250859
NZL,New Zealand,57.3,50.0,82.1,38.5,47.6,83.0,86.3,39.5,72.9,358.0,39.34807109847063,14.124293785310735,49.29178470254957
OMN,Oman,51.3,64.5,50.1,56.2,32.6,47.5,68.5,22.7,70.7,,,,
PAK,Pakistan,25.5,29.5,13.1,25.3,30.0,6.3,28.0,29.3,46.8,1300.0,17.86873621711111,19.45736434108527,23.98753894080997
PAN,Panama,52.9,59.1,55.1,56.6,41.9,57.4,48.9,27.5,50.0,,,,
PER,Peru,46.5,56.0,36.1,48.6,40.7,26.6,56.3,25.9,45.3,987.0,37.41988476898888,21.881390593047033,51.88968335035751
PHL,Philippines,32.1,33.9,28.7,24.6,32.2,22.7,42.4,30.0,72.3,1002.0,36.17968865710714,25.65922920892495,40.40609137055838
PNG,Papua New Guinea,36.9,36.3,37.2,19.8,37.7,39.8,21.2,36.8,61.8,145.0,,5.0,12.4031007751938
POL,Poland,64.2,79.2,50.1,81.4,53.5,38.5,80.1,58.8,68.3,1725.0,,18.85150812064965,24.753050552004648
PRT,Portugal,61.9,62.4,68.9,59.8,55.3,61.1,96.4,50.8,49.7,1007.0,39.017924139337374,19.36444885799404,52.13505461767627
PRY,Paraguay,39.5,44.4,39.7,47.5,31.9,33.6,57.3,23.4,71.6,378.0,25.75039598815555,22.281167108753316,40.691489361702125
PSE,West Bank and Gaza,,,,,,,,,,360.0,18.9528369904,4.4692737430167595,20.56338028169014
QAT,Qatar,46.8,56.4,51.3,50.1,28.0,42.4,76.6,42.0,35.7,,,,
ROU,Romania,57.3,68.7,46.6,71.9,49.3,39.3,68.0,42.3,67.8,947.0,38.67478666603738,25.768822905620357,67.58474576271186
RUS,Russia,46.7,48.4,55.4,41.6,36.9,50.5,76.0,15.5,62.9,,,,
RWA,Rwanda,33.9,45.8,14.4,49.9,32.3,8.4,24.7,15.0,41.6,358.0,24.080133090811103,6.70391061452514,27.37430167597765
SAU,Saudi Arabia,42.5,50.0,40.5,45.4,33.2,34.6,65.4,37.4,53.8,1573.0,,,
SDN,Sudan,39.1,43.4,34.7,39.2,36.2,35.2,39.1,44.5,48.5,,,,
SEN,Senegal,43.8,52.0,43.1,56.5,32.0,49.4,27.3,24.5,71.1,603.0,,7.308970099667775,10.666666666666668
SGP,Singapore,53.0,53.8,66.0,35.0,41.2,53.7,99.2,75.5,61.3,623.0,47.53882506566666,13.643659711075443,26.80577849117175
SLB,Solomon Islands,42.2,30.8,50.8,13.2,52.8,59.9,33.6,19.4,44.6,,,,
